cq,set,read_fkgl,read_gfi,read_cli,read_ari,read_dcr,read_fkgl_scaled,read_gfi_scaled,read_cli_scaled,read_ari_scaled,read_dcr_scaled
"What specific attributes are relevant for an Instrument (e.g., Brand, Model, Serial Number, Type: Acoustic-electric)?",5,10.9,19.0,15.91,14.7,15.59,0.6101694915254238,0.721094073767095,0.8177302254489873,0.8484848484848485,0.8323287671232876
"What specific attributes are relevant for a Stage Costume (e.g., Designer, Description)?",5,11.5,21.47,15.65,14.8,14.76,0.6440677966101696,0.8234562784915043,0.8077951853267099,0.8528138528138528,0.7868493150684931
"What specific attributes are relevant for a Manuscript (e.g., Description, Medium: Handwritten)?",5,12.7,25.73,16.4,14.9,15.78,0.711864406779661,1.0,0.8364539549102024,0.8571428571428572,0.8427397260273971
"Which Artist(s) are associated with a specific artifact (e.g., Gibson J-160E -> John Lennon, George Harrison)?",5,9.8,13.67,12.43,12.1,17.69,0.5480225988700566,0.5002072109407376,0.6847535345815818,0.7359307359307359,0.9473972602739726
"Which Work(s) (e.g., album, song) are associated with a specific artifact (e.g., Gibson J-160E -> ""Please Please Me"" album; Handwritten Lyrics -> ""Bohemian Rhapsody"")?",5,9.7,13.83,11.67,13.1,14.05,0.5423728813559322,0.5068379610443432,0.6557126480703095,0.7792207792207793,0.747945205479452
"Which Event(s) (e.g., tour, recording session) are associated with a specific artifact (e.g., Ziggy Stardust Jumpsuit -> Ziggy Stardust tour)?",5,9.3,10.94,12.12,12.2,14.75,0.5197740112994351,0.38707003729796935,0.6729079098204049,0.7402597402597403,0.7863013698630136
"What is the unique identifier (e.g., catalog number, serial number if applicable) for a given artifact?",5,12.3,15.7,9.7,8.5,11.93,0.6892655367231639,0.5843348528802321,0.5804356132976689,0.5800865800865801,0.6317808219178082
"How can we retrieve all artifacts associated with a specific Artist (e.g., David Bowie)?",5,12.3,14.17,10.72,10.8,13.35,0.6892655367231639,0.5209283050145048,0.6194115399312189,0.6796536796536796,0.7095890410958904
"How can we retrieve all artifacts classified as a specific Type (e.g., Stage Costume)?",5,8.8,14.17,9.91,10.1,13.35,0.4915254237288136,0.5209283050145048,0.588460068781047,0.6493506493506493,0.7095890410958904
Who was the original owner of a specific artifact (if known)?,5,8.8,15.31,6.82,5.9,8.49,0.4915254237288136,0.5681723995026937,0.47038593809705764,0.4675324675324676,0.44328767123287666
"Who is the current owner of a specific artifact (e.g., Sonia)?",5,7.6,11.67,5.78,6.3,12.79,0.423728813559322,0.4173228346456693,0.430645777607948,0.48484848484848486,0.678904109589041
"How and when did the current owner (e.g., Sonia) acquire a specific artifact?",5,7.0,11.83,6.09,5.4,12.46,0.3898305084745763,0.4239535847492748,0.4424914023691249,0.4458874458874459,0.6608219178082192
Has a specific artifact been loaned out previously? To which institutions and during which dates?,5,7.4,13.67,11.67,8.4,10.32,0.4124293785310735,0.5002072109407376,0.6557126480703095,0.5757575757575758,0.5435616438356164
What is the complete ownership history (provenance trail) for a given artifact?,5,10.3,14.8,13.27,11.3,10.81,0.5762711864406781,0.5470368835474513,0.7168513565150935,0.7012987012987013,0.5704109589041095
"What is the recorded general condition (e.g., Excellent, Fair, Good, Fragile, Delicate) of a specific artifact?",5,10.0,18.2,11.56,10.8,12.92,0.5593220338983051,0.6879403232490675,0.6515093618647305,0.6796536796536796,0.686027397260274
"What specific damage (e.g., scratches, fraying, fading, creasing, foxing) is noted for a particular artifact?",5,9.8,11.0,13.24,12.1,15.59,0.5480225988700566,0.3895565685868214,0.7157050057317539,0.7359307359307359,0.8323287671232876
"What conservation treatments has a specific artifact undergone, and when?",5,11.9,20.0,17.2,13.7,12.03,0.6666666666666667,0.7625362619146292,0.8670233091325944,0.8051948051948051,0.6372602739726027
How can we find all artifacts currently assessed as being in 'Fragile' or 'Delicate' condition?,5,10.3,16.67,11.53,11.5,10.7,0.5762711864406781,0.6245337753833404,0.6503630110813907,0.7099567099567099,0.5643835616438355
"What are the specific display case requirements for an artifact (e.g., Secure, Climate-controlled)?",5,10.7,14.43,17.1,16.6,15.21,0.5988700564971752,0.5317032739328638,0.8632021398547955,0.9307359307359307,0.8115068493150684
"What are the lighting requirements for displaying an artifact (e.g., Low-level, UV-filtered, Indirect)?",5,8.2,14.91,15.89,14.8,14.89,0.45762711864406774,0.5515955242436801,0.8169659915934275,0.8528138528138528,0.793972602739726
"Are there specific handling instructions (e.g., White gloves required)?",5,7.4,15.13,14.4,13.8,16.14,0.4124293785310735,0.5607128056361377,0.7600305693542223,0.8095238095238095,0.8624657534246575
"What level of security is required for a specific artifact (e.g., 24/7 monitoring, High-level, Alarms, CCTV)?",5,13.5,18.2,10.45,10.3,14.89,0.7570621468926554,0.6879403232490675,0.6090943828811615,0.658008658008658,0.793972602739726
"Does an artifact require specific environmental controls (e.g., humidity control)?",5,17.8,24.0,20.1,18.0,18.34,1.0,0.9283050145047658,0.9778372181887657,0.9913419913419913,0.9830136986301369
Does a costume require a custom-fit mannequin?,5,10.7,14.23,11.55,9.0,13.01,0.5988700564971752,0.5234148363033568,0.6511272449369507,0.6017316017316017,0.6909589041095889
"Does a manuscript require specific framing (e.g., Acid-free matting, UV-filtering glass)?",5,10.2,16.75,15.76,15.1,18.26,0.5706214689265536,0.6278491504351429,0.8119984715322888,0.8658008658008658,0.9786301369863014
"Who is the donor/lender (e.g., Sonia) for a specific loaned artifact?",5,5.4,9.47,6.31,6.6,15.39,0.2994350282485876,0.3261500207210941,0.4508979747802827,0.49783549783549785,0.8213698630136986
"Who is the borrower (e.g., BME, V&A, Rock & Roll Hall of Fame) for a specific loan agreement?",5,4.2,10.46,3.15,3.9,11.49,0.23163841807909605,0.367177786987153,0.3301490256018341,0.38095238095238093,0.6076712328767123
"What is the start date and end date (or status like 'Indefinite', 'Full Donation') of a specific loan agreement?",5,9.5,16.02,8.99,11.4,9.57,0.5310734463276837,0.5975963530874431,0.5533053114252962,0.7056277056277056,0.5024657534246575
What is the agreed compensation (if any) for a specific loan?,5,7.6,11.67,6.82,5.9,8.49,0.423728813559322,0.4173228346456693,0.47038593809705764,0.4675324675324676,0.44328767123287666
Who is responsible for insurance under a specific loan agreement?,5,11.9,20.0,13.14,9.9,10.45,0.6666666666666667,0.7625362619146292,0.7118838364539548,0.6406926406926406,0.5506849315068493
Who is responsible for arranging and covering the cost of transport for a specific loan?,5,10.3,16.67,10.37,9.3,9.64,0.5762711864406781,0.6245337753833404,0.6060374474589223,0.6147186147186148,0.5063013698630137
Is a specific artifact currently on loan? To whom?,5,8.0,16.93,6.7,5.1,9.35,0.4463276836158192,0.6353087443016991,0.46580053496369883,0.4329004329004329,0.4904109589041096
Which artifacts loaned by Sonia are currently held by the BME?,5,6.4,11.67,8.45,6.3,11.36,0.3559322033898305,0.4173228346456693,0.5326709973251814,0.48484848484848486,0.6005479452054794
"Which loan agreements are set to expire within the next [time period, e.g., 6 months]?",5,6.8,11.33,7.24,8.7,12.8,0.3785310734463277,0.4032324906755077,0.48643484906381346,0.5887445887445887,0.6794520547945205
Has an artifact been designated as a 'Full Donation' rather than a loan?,5,8.4,14.43,7.24,6.8,9.14,0.4689265536723164,0.5317032739328638,0.48643484906381346,0.5064935064935064,0.47890410958904106
What are all the artifacts currently under loan agreements with the BME as the borrower?,5,9.1,16.67,10.37,9.3,9.64,0.5084745762711864,0.6245337753833404,0.6060374474589223,0.6147186147186148,0.5063013698630137
How can the system represent the relationship between a donor (Sonia) and the artifacts they have loaned?,5,9.9,13.86,11.77,11.8,10.98,0.5536723163841809,0.5080812266887691,0.6595338173481085,0.722943722943723,0.5797260273972602
"How can the system represent the status of a loan (e.g., Proposed, Active, Expired, Donated)?a",5,6.2,8.33,7.79,7.4,13.48,0.3446327683615819,0.2789059262329051,0.5074512800917079,0.5324675324675324,0.7167123287671232
"What information about loaned artifacts should be visible to the donor (Sonia) via the dashboard? (e.g., Loan status, Location within museum, Current condition summary?)",5,12.7,16.47,14.49,13.2,15.42,0.711864406779661,0.6162453377538333,0.7634696217042414,0.7835497835497836,0.823013698630137
How does the system distinguish between artifacts owned outright by the museum and those on loan?,5,9.5,13.9,11.77,10.7,10.35,0.5310734463276837,0.5097389142146707,0.6595338173481085,0.6753246753246753,0.5452054794520548
"How can Liz retrieve all information (cataloguing, provenance, condition, display, loan) associated with a single artifact added via the loan process?",5,16.2,19.83,16.71,18.2,13.7,0.9096045197740114,0.7554910899295482,0.8482995796713794,1.0,0.7287671232876711
